model,horizon,iteration_id,MSE,R2
GRU,31,3,0.0754916840861564,0.3785732979820316
GRU,32,3,0.0756271125838388,0.3774227941638786
GRU,33,3,0.0770168237024566,0.3659550569438883
GRU,34,3,0.0768608586157012,0.3672251236661656
GRU,35,3,0.0776591108937718,0.3606427941358673
GRU,36,3,0.0785429523225091,0.3533566601668469
GRU,37,3,0.0791964686135741,0.3479676463079675
GRU,38,3,0.0796526421315235,0.3442035686987569
GRU,39,3,0.0804284510025315,0.3378082148859329
GRU,40,3,0.0805101936022519,0.3371299405607915
GRU,41,3,0.0811358017555757,0.3319756200577606
GRU,42,3,0.0812237392742268,0.3312456236943206
GRU,43,3,0.0818835719819148,0.325802357122198
GRU,44,3,0.0829849591371793,0.3167183189190649
GRU,45,3,0.0836976962772443,0.3108291385944828
GRU,46,3,0.0844644146530893,0.3044933504818802
GRU,47,3,0.0849850004288313,0.300183174359582
GRU,48,3,0.0858496856024142,0.2930383320865437
GRU,49,3,0.0860995000593932,0.2909558102803594
GRU,50,3,0.0869366108988535,0.2840357488528774
GRU,51,3,0.0875883588315365,0.2786413695940397
GRU,52,3,0.0880281318411478,0.2749923777441122
GRU,53,3,0.0880081819024072,0.2751293363101929
GRU,54,3,0.0887898849588834,0.2686630817414583
GRU,55,3,0.0899332527210333,0.2592170517330227
GRU,56,3,0.0898321177983181,0.2600214569920914
GRU,57,3,0.090835926767165,0.2517235220120062
GRU,58,3,0.09127925976853,0.2480418271637799
GRU,59,3,0.0921655781764261,0.2407091972134635
GRU,60,3,0.0923129266607745,0.239462821644854
GRU,61,3,0.0922134635286594,0.2402495075576984
GRU,62,3,0.0916914821651894,0.244519916964587
GRU,63,3,0.0927643409649045,0.2356653305328152
GRU,64,3,0.0924076002912182,0.2386028502632976
GRU,65,3,0.0934998168097376,0.2296032525965625
GRU,66,3,0.0931708181749961,0.232308464656374
GRU,67,3,0.0931906953894815,0.232138199892487
GRU,68,3,0.093376672315536,0.2306022467435869
GRU,69,3,0.0922567897866869,0.2398284362095557
GRU,70,3,0.0938325338078726,0.2268456727945196
GRU,71,3,0.0945180673810972,0.2211952713588445
GRU,72,3,0.0950221374738619,0.2170409957009117
GRU,1,4,0.1471736981239553,-0.2089390673550719
GRU,2,4,0.2006564448690514,-0.648389174736552
GRU,3,4,0.1835115939476006,-0.50765582773812
GRU,4,4,0.1820205393832546,-0.4955150606796263
GRU,5,4,0.2060446790116788,-0.6930239886677403
GRU,6,4,0.165197195592811,-0.3574858518754051
GRU,7,4,0.1726610290042754,-0.4189187080457339
GRU,8,4,0.1914556136938183,-0.5734808223625028
GRU,9,4,0.137984834640259,-0.1341081529490566
GRU,10,4,0.1919044898886367,-0.5773853193005261
GRU,11,4,0.1623804525135939,-0.3348002992121848
GRU,12,4,0.1478139286660029,-0.2151452308993868
GRU,13,4,0.1683997663457064,-0.3844745585164173
GRU,14,4,0.1459745064792729,-0.2001942021240357
GRU,15,4,0.1609870420204479,-0.323721862170597
GRU,16,4,0.1433762005650041,-0.179001867071993
GRU,17,4,0.1719383152360858,-0.4139758223396419
GRU,18,4,0.1693819982833536,-0.3930565321323735
GRU,19,4,0.1628339921213161,-0.3393035100371868
GRU,20,4,0.2010043890007002,-0.6533784731286114
GRU,21,4,0.1862581038843005,-0.5321995181648298
GRU,22,4,0.1936259721774047,-0.5929287026361985
GRU,23,4,0.1793332842469463,-0.475452223754828
GRU,24,4,0.1856014107504178,-0.5271299695200427
GRU,25,4,0.1930818805184657,-0.5887872908553391
GRU,26,4,0.1358899871691375,-0.1182546957592498
GRU,27,4,0.165302120376241,-0.360380464730978
GRU,28,4,0.1753083714639521,-0.4428226663618262
